image,sigma,median_size,threshold_method,threshold_value,open_size,close_size,dice
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,0,0,0.5308587744344389
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,0,2,0.528806920189326
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,0,3,0.5284579037800687
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,2,0,0.5246472935754033
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,2,2,0.52295832867836
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,2,3,0.5222746185852982
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,3,0,0.5027984536379897
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,3,2,0.5013793103448276
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,otsu,-387,3,3,0.501802368827602
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,0,0,0.5571532016137375
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,0,2,0.5516538402731767
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,0,3,0.5484468010604772
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,2,0,0.5573265327807885
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,2,2,0.5523109243697479
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,2,3,0.5516739446870451
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,3,0,0.5449573397506016
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,3,2,0.5411879471060048
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-500,3,3,0.5397800776196636
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,0,0,0.5353326063249727
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,0,2,0.5328081156917764
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,0,3,0.5317764981872467
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,2,0,0.5303207810320781
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,2,2,0.5282349681352175
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,2,3,0.5275972237523411
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,3,0,0.5085969738651994
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,3,2,0.507074395253309
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-400,3,3,0.507242260721386
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,0,0,0.5079582406298134
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,0,2,0.5071764906109945
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,0,3,0.5070961928362244
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,2,0,0.5015998603758217
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,2,2,0.5004349086691795
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,2,3,0.4998555664683113
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,3,0,0.47586124687090237
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,3,2,0.47529467793784974
LIDC-IDRI-0001_R_1.nii.gz,0.0,1,fixed,-300,3,3,0.4763093751857797
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,0,0,0.5241917502787068
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,0,2,0.5218259470852515
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,0,3,0.5211244270171757
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,2,0,0.5235772357723577
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,2,2,0.5212878745605714
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,2,3,0.5207047968428659
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,3,0,0.5079328843739299
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,3,2,0.5065879145842799
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,otsu,-394,3,3,0.5062560153994226
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,0,0,0.5550847457627118
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,0,2,0.550464493780507
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,0,3,0.5487296959600166
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,2,0,0.5560710286354184
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,2,2,0.5515747199323611
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,2,3,0.5496327387198321
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,3,0,0.541845668606232
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,3,2,0.5382788035849261
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-500,3,3,0.5363914701616802
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,0,0,0.5268010887074377
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,0,2,0.5248038890730305
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,0,3,0.5237440158476862
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,2,0,0.5256274104298251
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,2,2,0.5236877224199288
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,2,3,0.5227171985815603
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,3,0,0.510376982998806
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,3,2,0.508994230116529
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-400,3,3,0.508988447449986
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,0,0,0.49620223807038905
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,0,2,0.4953173777315297
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,0,3,0.4946087758749928
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,2,0,0.49503910353682734
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,2,2,0.49449845723933167
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,2,3,0.49448123620309054
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,3,0,0.47633732653303285
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,3,2,0.47558738237556963
LIDC-IDRI-0001_R_1.nii.gz,0.0,3,fixed,-300,3,3,0.47772130953787967
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,0,0,0.4974222423658716
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,0,2,0.49615819209039547
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,0,3,0.4955782121331606
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,2,0,0.49667405764966743
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,2,2,0.49552001814676194
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,2,3,0.49499462700073527
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,3,0,0.49015116811726983
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,3,2,0.4890640169036606
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,otsu,-401,3,3,0.4883548772848927
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,0,0,0.5275412310014013
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,0,2,0.5257676615847112
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,0,3,0.5247323340471092
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,2,0,0.5275283937263385
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,2,2,0.5261795632245888
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,2,3,0.5253025006722237
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,3,0,0.5240554498505029
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,3,2,0.5227383598026993
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-500,3,3,0.5218096319117885
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,0,0,0.49702465287616887
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,0,2,0.49576127500847744
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,0,3,0.49518228432974587
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,2,0,0.4963603275705187
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,2,2,0.495206761586023
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,2,3,0.4946820547635212
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,3,0,0.4896579384633014
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,3,2,0.48857142857142855
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-400,3,3,0.48786324786324786
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-300,0,0,0.46497835241088903
LIDC-IDRI-0001_R_1.nii.gz,0.0,5,fixed,-300,0,2,0.4649564547662776
